[2022-12-08 13:28:35,335] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 13:28:35,338] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:29:23,353] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 13:29:23,357] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:30:16,956] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'endTime'
[2022-12-08 13:30:16,961] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:31:44,619] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 13:31:44,625] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:32:25,274] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 13:32:25,277] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:34:39,487] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 13:34:39,490] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:36:27,940] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 13:36:27,943] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:37:52,807] ERROR [shared.exception_handler.__handle_attribute_error:122] 'dict' object has no attribute 'startTime'
[2022-12-08 13:37:52,811] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:41:36,574] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:42:31,189] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:43:13,203] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:45:47,353] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 13:48:53,026] ERROR [django.request.log_response:241] Internal Server Error: /contract/doctor/53/approve/
[2022-12-08 14:04:49,445] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/53/approve/
[2022-12-08 14:06:19,334] WARNING [django.request.log_response:241] Bad Request: /contract/doctor/53/approve/
